epoch,lr-AdamW,step,test_acc,test_auroc,test_bal_acc,test_balanced_acc,test_loss,test_macro_f1,test_mi_loss,train_acc,train_loss,train_mi_loss,val_acc,val_bal_acc,val_loss,val_mi_loss
,0.00043053660058381627,999,,,,,,,,,,,,,,
32,,999,,,,,,,,0.984375,0.5467321872711182,0.4402533173561096,,,,
,0.00043053660058381627,1009,,,,,,,,,,,,,,
32,,1009,,,,,,,,0.96875,0.5376487970352173,0.4350031018257141,,,,
,0.00043053660058381627,1019,,,,,,,,,,,,,,
32,,1019,,,,,,,,0.984375,0.5803167819976807,0.4386563003063202,,,,
32,,1022,,,,,,,,,,,0.6372315287590027,0.23716770112514496,1.5149967670440674,0.32805129885673523
,0.0004244279466886019,1029,,,,,,,,,,,,,,
33,,1029,,,,,,,,1.0,0.519512414932251,0.4360658526420593,,,,
,0.0004244279466886019,1039,,,,,,,,,,,,,,
33,,1039,,,,,,,,0.96875,0.5496236085891724,0.43854737281799316,,,,
,0.0004244279466886019,1049,,,,,,,,,,,,,,
33,,1049,,,,,,,,1.0,0.5338672995567322,0.413543164730072,,,,
33,,1053,,,,,,,,,,,0.6229116916656494,0.2216499298810959,1.4924379587173462,0.32407885789871216
,0.00041810982507381754,1059,,,,,,,,,,,,,,
34,,1059,,,,,,,,1.0,0.5067026019096375,0.44698166847229004,,,,
,0.00041810982507381754,1069,,,,,,,,,,,,,,
34,,1069,,,,,,,,1.0,0.51679927110672,0.4172816276550293,,,,
,0.00041810982507381754,1079,,,,,,,,,,,,,,
34,,1079,,,,,,,,0.984375,0.5213603377342224,0.42254266142845154,,,,
34,,1084,,,,,,,,,,,0.620525062084198,0.2206086367368698,1.493680477142334,0.3186112642288208
,0.0004115899333974186,1089,,,,,,,,,,,,,,
35,,1089,,,,,,,,0.984375,0.5386032462120056,0.4189256429672241,,,,
,0.0004115899333974186,1099,,,,,,,,,,,,,,
35,,1099,,,,,,,,0.953125,0.5595383048057556,0.39314505457878113,,,,
,0.0004115899333974186,1109,,,,,,,,,,,,,,
35,,1109,,,,,,,,1.0,0.5355349779129028,0.42248547077178955,,,,
35,,1115,,,,,,,,,,,0.6491646766662598,0.23988668620586395,1.4648452997207642,0.3156032860279083
,0.0004048762151431006,1119,,,,,,,,,,,,,,
36,,1119,,,,,,,,1.0,0.5115690231323242,0.3792600631713867,,,,
,0.0004048762151431006,1129,,,,,,,,,,,,,,
36,,1129,,,,,,,,1.0,0.5257249474525452,0.39551302790641785,,,,
,0.0004048762151431006,1139,,,,,,,,,,,,,,
36,,1139,,,,,,,,0.96875,0.561046302318573,0.3912452161312103,,,,
36,,1146,,,,,,,,,,,0.6396181583404541,0.25528374314308167,1.5117226839065552,0.31856170296669006
,0.0003979768499423873,1149,,,,,,,,,,,,,,
37,,1149,,,,,,,,0.984375,0.5360661745071411,0.40581828355789185,,,,
,0.0003979768499423873,1159,,,,,,,,,,,,,,
37,,1159,,,,,,,,0.984375,0.5236157178878784,0.4081263244152069,,,,
,0.0003979768499423873,1169,,,,,,,,,,,,,,
37,,1169,,,,,,,,0.953125,0.5901564359664917,0.38402795791625977,,,,
37,,1177,,,,,,,,,,,0.6252983212471008,0.24208110570907593,1.4738787412643433,0.3119630217552185
,0.00039090024360901,1179,,,,,,,,,,,,,,
38,,1179,,,,,,,,0.984375,0.5295541286468506,0.3768405616283417,,,,
,0.00039090024360901,1189,,,,,,,,,,,,,,
38,,1189,,,,,,,,0.984375,0.5168013572692871,0.4155091643333435,,,,
,0.00039090024360901,1199,,,,,,,,,,,,,,
38,,1199,,,,,,,,0.953125,0.6346052885055542,0.3837980031967163,,,,
38,,1208,,,,,,,,,,,0.6324582099914551,0.22223390638828278,1.5007719993591309,0.3094610571861267
,0.00038365501789771835,1209,,,,,,,,,,,,,,
39,,1209,,,,,,,,0.984375,0.527382493019104,0.35099297761917114,,,,
,0.00038365501789771835,1219,,,,,,,,,,,,,,
39,,1219,,,,,,,,0.984375,0.5254923105239868,0.38879871368408203,,,,
,0.00038365501789771835,1229,,,,,,,,,,,,,,
39,,1229,,,,,,,,0.984375,0.5351806282997131,0.4063771367073059,,,,
,0.00038365501789771835,1239,,,,,,,,,,,,,,
39,,1239,,,,,,,,1.0,0.48821336030960083,0.2644347846508026,,,,
39,,1239,,,,,,,,,,,0.6300715804100037,0.21782538294792175,1.4713810682296753,0.3082323372364044
,0.0003762500000000001,1249,,,,,,,,,,,,,,
40,,1249,,,,,,,,0.984375,0.532240092754364,0.3574378490447998,,,,
,0.0003762500000000001,1259,,,,,,,,,,,,,,
40,,1259,,,,,,,,0.984375,0.509152352809906,0.35577958822250366,,,,
,0.0003762500000000001,1269,,,,,,,,,,,,,,
40,,1269,,,,,,,,0.984375,0.5525150895118713,0.3521394729614258,,,,
40,,1270,,,,,,,,,,,0.6300715804100037,0.23284025490283966,1.4511929750442505,0.3045419454574585
,0.00036869421178950805,1279,,,,,,,,,,,,,,
41,,1279,,,,,,,,0.96875,0.5463786721229553,0.3978646695613861,,,,
,0.00036869421178950805,1289,,,,,,,,,,,,,,
41,,1289,,,,,,,,1.0,0.496372789144516,0.3449428975582123,,,,
,0.00036869421178950805,1299,,,,,,,,,,,,,,
41,,1299,,,,,,,,0.984375,0.535605788230896,0.3515642583370209,,,,
41,,1301,,,,,,,,,,,0.6133651733398438,0.20822274684906006,1.4520914554595947,0.3035767078399658
,0.00036099685883029674,1309,,,,,,,,,,,,,,
42,,1309,,,,,,,,1.0,0.5145828723907471,0.3929722011089325,,,,
,0.00036099685883029674,1319,,,,,,,,,,,,,,
42,,1319,,,,,,,,0.96875,0.5506484508514404,0.35878777503967285,,,,
,0.00036099685883029674,1329,,,,,,,,,,,,,,
42,,1329,,,,,,,,0.984375,0.5186679363250732,0.37394893169403076,,,,
42,,1332,,,,,,,,,,,0.6276849508285522,0.23469726741313934,1.451088547706604,0.2980993092060089
,0.0003531673191612606,1339,,,,,,,,,,,,,,
43,,1339,,,,,,,,0.96875,0.5296904444694519,0.3720735013484955,,,,
,0.0003531673191612606,1349,,,,,,,,,,,,,,
43,,1349,,,,,,,,0.953125,0.5369272232055664,0.3548724055290222,,,,
,0.0003531673191612606,1359,,,,,,,,,,,,,,
43,,1359,,,,,,,,0.984375,0.5166507363319397,0.3769128918647766,,,,
43,,1363,,,,,,,,,,,0.6133651733398438,0.24267220497131348,1.456727147102356,0.29359039664268494
,0.0003452151318704383,1369,,,,,,,,,,,,,,
44,,1369,,,,,,,,0.984375,0.5310163497924805,0.39034438133239746,,,,
,0.0003452151318704383,1379,,,,,,,,,,,,,,
44,,1379,,,,,,,,1.0,0.49685460329055786,0.3512852191925049,,,,
,0.0003452151318704383,1389,,,,,,,,,,,,,,
44,,1389,,,,,,,,0.984375,0.5137320160865784,0.37176793813705444,,,,
44,,1394,,,,,,,,,,,0.6276849508285522,0.21854254603385925,1.4472150802612305,0.2953121066093445
,0.0003371499854731031,1399,,,,,,,,,,,,,,
45,,1399,,,,,,,,1.0,0.5221544504165649,0.3624802827835083,,,,
,0.0003371499854731031,1409,,,,,,,,,,,,,,
45,,1409,,,,,,,,1.0,0.5162814259529114,0.34139180183410645,,,,
,0.0003371499854731031,1419,,,,,,,,,,,,,,
45,,1419,,,,,,,,0.984375,0.5090456008911133,0.342864453792572,,,,
45,,1425,,,,,,,,,,,0.6300715804100037,0.2541065216064453,1.4534529447555542,0.29287585616111755
,0.00032898170610779956,1429,,,,,,,,,,,,,,
46,,1429,,,,,,,,0.984375,0.5166785717010498,0.35362493991851807,,,,
,0.00032898170610779956,1439,,,,,,,,,,,,,,
46,,1439,,,,,,,,0.96875,0.527520477771759,0.3617897927761078,,,,
,0.00032898170610779956,1449,,,,,,,,,,,,,,
46,,1449,,,,,,,,1.0,0.5063668489456177,0.39738792181015015,,,,
46,,1456,,,,,,,,,,,0.6396181583404541,0.22972360253334045,1.4483669996261597,0.28858378529548645
,0.00032072024556470733,1459,,,,,,,,,,,,,,
47,,1459,,,,,,,,1.0,0.48682844638824463,0.3208189606666565,,,,
,0.00032072024556470733,1469,,,,,,,,,,,,,,
47,,1469,,,,,,,,1.0,0.5012507438659668,0.3499791622161865,,,,
,0.00032072024556470733,1479,,,,,,,,,,,,,,
47,,1479,,,,,,,,0.96875,0.5399043560028076,0.3351266086101532,,,,
47,,1487,,,,,,,,,,,0.6515513062477112,0.24504004418849945,1.454775094985962,0.2876971364021301
,0.0003123756691609178,1489,,,,,,,,,,,,,,
48,,1489,,,,,,,,0.96875,0.5455818176269531,0.34792065620422363,,,,
,0.0003123756691609178,1499,,,,,,,,,,,,,,
48,,1499,,,,,,,,0.984375,0.5224996209144592,0.3408214747905731,,,,
,0.0003123756691609178,1509,,,,,,,,,,,,,,
48,,1509,,,,,,,,1.0,0.5251556038856506,0.340941846370697,,,,
48,,1518,,,,,,,,,,,0.6539379358291626,0.25841477513313293,1.4508962631225586,0.2854819893836975
,0.0003039581434773955,1519,,,,,,,,,,,,,,
49,,1519,,,,,,,,1.0,0.5083661675453186,0.31356337666511536,,,,
,0.0003039581434773955,1529,,,,,,,,,,,,,,
49,,1529,,,,,,,,0.984375,0.5180082321166992,0.3152477741241455,,,,
,0.0003039581434773955,1539,,,,,,,,,,,,,,
49,,1539,,,,,,,,0.984375,0.5049179196357727,0.31979990005493164,,,,
