epoch,lr-AdamW,step,test_acc,test_auroc,test_bal_acc,test_balanced_acc,test_loss,test_loss_causal,test_loss_diff,test_loss_kl,test_loss_recon,test_loss_task,test_macro_f1,train_acc,train_bal_acc,train_loss,train_loss_causal,train_loss_diff,train_loss_kl,train_loss_recon,train_loss_task,val_acc,val_bal_acc,val_loss,val_loss_causal,val_loss_diff,val_loss_kl,val_loss_recon,val_loss_task,warmup/gamma_diff,warmup/gamma_kl,warmup/gamma_recon
19,,619,,,,,,,,,,,,,0.6166263222694397,,,,,,,,,,,,,,,,,
,0.0004850739236445125,629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,629,,,,,,,,,,,,0.703125,,2.016570568084717,0.0,0.0,0.0,0.0,2.016570568084717,,,,,,,,,0.550000011920929,0.0,1.0
,0.0004850739236445125,639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,639,,,,,,,,,,,,0.734375,,1.6462624073028564,0.0,0.0,0.0,0.0,1.6462624073028564,,,,,,,,,0.550000011920929,0.0,1.0
,0.0004850739236445125,649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,649,,,,,,,,,,,,0.640625,,2.071465253829956,0.0,0.0,0.0,0.0,2.071465253829956,,,,,,,,,0.550000011920929,0.0,1.0
20,,650,,,,,,,,,,,,,,,,,,,,0.4630071520805359,0.283096045255661,3.0704638957977295,0.0,0.0,0.0,0.0,3.0704638957977295,,,
20,,650,,,,,,,,,,,,,0.6428489089012146,,,,,,,,,,,,,,,,,
,0.0004819780040052801,659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,659,,,,,,,,,,,,0.859375,,1.5399093627929688,0.0,0.0,0.0,0.0,1.5399093627929688,,,,,,,,,0.6000000238418579,0.10000000149011612,1.0
,0.0004819780040052801,669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,669,,,,,,,,,,,,0.8125,,1.5359740257263184,0.0,0.0,0.0,0.0,1.5359740257263184,,,,,,,,,0.6000000238418579,0.10000000149011612,1.0
,0.0004819780040052801,679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,679,,,,,,,,,,,,0.796875,,1.8557302951812744,0.0,0.0,0.0,0.0,1.8557302951812744,,,,,,,,,0.6000000238418579,0.10000000149011612,1.0
21,,681,,,,,,,,,,,,,,,,,,,,0.49164676666259766,0.2611629366874695,2.982778549194336,0.0,0.0,0.0,0.0,2.982778549194336,,,
21,,681,,,,,,,,,,,,,0.6632170081138611,,,,,,,,,,,,,,,,,
,0.0004786025007665439,689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,689,,,,,,,,,,,,0.78125,,1.5873517990112305,0.0,0.0,0.0,0.0,1.5873517990112305,,,,,,,,,0.6499999761581421,0.20000000298023224,1.0
,0.0004786025007665439,699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,699,,,,,,,,,,,,0.71875,,2.3048880100250244,0.0,0.0,0.0,0.0,2.3048880100250244,,,,,,,,,0.6499999761581421,0.20000000298023224,1.0
,0.0004786025007665439,709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,709,,,,,,,,,,,,0.671875,,1.7190206050872803,0.0,0.0,0.0,0.0,1.7190206050872803,,,,,,,,,0.6499999761581421,0.20000000298023224,1.0
22,,712,,,,,,,,,,,,,,,,,,,,0.584725558757782,0.28767627477645874,2.864915132522583,0.0,0.0,0.0,0.0,2.864915132522583,,,
22,,712,,,,,,,,,,,,,0.6618970632553101,,,,,,,,,,,,,,,,,
,0.00047495152645904404,719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,719,,,,,,,,,,,,0.765625,,1.7589080333709717,0.0,0.0,0.0,0.0,1.7589080333709717,,,,,,,,,0.699999988079071,0.30000001192092896,1.0
,0.00047495152645904404,729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,729,,,,,,,,,,,,0.59375,,2.4639155864715576,0.0,0.0,0.0,0.0,2.4639155864715576,,,,,,,,,0.699999988079071,0.30000001192092896,1.0
,0.00047495152645904404,739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,739,,,,,,,,,,,,0.765625,,1.694532871246338,0.0,0.0,0.0,0.0,1.694532871246338,,,,,,,,,0.699999988079071,0.30000001192092896,1.0
23,,743,,,,,,,,,,,,,,,,,,,,0.5966587066650391,0.29771846532821655,2.779324769973755,0.0,0.0,0.0,0.0,2.779324769973755,,,
23,,743,,,,,,,,,,,,,0.6649088263511658,,,,,,,,,,,,,,,,,
,0.00047102952923258466,749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,749,,,,,,,,,,,,0.765625,,1.673473834991455,0.0,0.0,0.0,0.0,1.673473834991455,,,,,,,,,0.75,0.4000000059604645,1.0
,0.00047102952923258466,759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,759,,,,,,,,,,,,0.75,,1.5631500482559204,0.0,0.0,0.0,0.0,1.5631500482559204,,,,,,,,,0.75,0.4000000059604645,1.0
,0.00047102952923258466,769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,769,,,,,,,,,,,,0.796875,,2.0361695289611816,0.0,0.0,0.0,0.0,2.0361695289611816,,,,,,,,,0.75,0.4000000059604645,1.0
24,,774,,,,,,,,,,,,,,,,,,,,0.5560859441757202,0.29253828525543213,3.0096583366394043,0.0,0.0,0.0,0.0,3.0096583366394043,,,
24,,774,,,,,,,,,,,,,0.6593076586723328,,,,,,,,,,,,,,,,,
,0.0004668412874366488,779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
